--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
023.850  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.853  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.856  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.860  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.863  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.867  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.885  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.017  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.021  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.051  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.055  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.064  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.100  000.005  000.005: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.115  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.124  000.008  000.008: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.129  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.133  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
024.589  000.027  000.027: require('nvim-treesitter.utils')
025.092  000.025  000.025: require('vim.treesitter.language')
025.113  000.019  000.019: require('vim.func')
025.143  000.028  000.028: require('vim.func._memoize')
025.162  000.136  000.064: require('vim.treesitter.query')
025.199  000.036  000.036: require('vim.treesitter._range')
025.215  000.261  000.089: require('vim.treesitter.languagetree')
025.220  000.304  000.043: require('vim.treesitter')
025.624  001.033  000.729: require('nvim-treesitter.parsers')
025.857  000.057  000.057: require('nvim-treesitter.compat')
025.962  000.068  000.068: require('nvim-treesitter.ts_utils')
025.966  000.108  000.040: require('nvim-treesitter.tsrange')
025.996  000.029  000.029: require('nvim-treesitter.caching')
026.004  000.265  000.071: require('nvim-treesitter.query')
026.017  000.345  000.080: require('nvim-treesitter.configs')
026.023  000.397  000.052: require('nvim-treesitter.info')
026.080  000.056  000.056: require('nvim-treesitter.shell_command_selectors')
026.101  001.597  000.084: require('nvim-treesitter.install')
026.131  000.028  000.028: require('nvim-treesitter.statusline')
026.173  000.041  000.041: require('nvim-treesitter.query_predicates')
026.178  001.932  000.266: require('nvim-treesitter')
026.570  002.349  000.416: sourcing /home/theo/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
026.574  002.371  000.022: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
026.578  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
026.587  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
027.378  000.063  000.063: require('nvim-treesitter.indent')
027.553  000.108  000.108: require('nvim-treesitter.locals')
027.556  000.161  000.053: require('nvim-treesitter.incremental_selection')
027.623  000.032  000.032: require('nvim-treesitter.highlight')
027.919  000.183  000.183: require('gitsigns')
028.067  000.127  000.127: require('gitsigns.highlight')
028.221  000.150  000.150: require('gitsigns.debug.log')
028.511  000.289  000.289: require('gitsigns.config')
028.916  000.053  000.053: require('gitsigns.debounce')
028.924  001.212  000.410: sourcing /home/theo/.local/share/nvim/lazy/gitsigns.nvim/plugin/gitsigns.lua
028.941  001.248  000.037: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
028.946  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
028.957  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
029.149  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
029.156  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
029.334  000.034  000.034: require('vim.lsp.log')
029.623  000.287  000.287: require('vim.lsp.protocol')
029.714  000.089  000.089: require('vim.lsp.util')
029.762  000.020  000.020: require('vim.lsp.sync')
029.764  000.048  000.028: require('vim.lsp._changetracking')
029.817  000.023  000.023: require('vim.lsp._transport')
029.825  000.060  000.037: require('vim.lsp.rpc')
029.858  000.627  000.109: require('vim.lsp')
030.110  000.252  000.252: require('lspconfig.util')
030.122  000.925  000.046: sourcing /home/theo/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
030.125  000.946  000.021: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
030.130  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
030.136  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
030.313  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
030.319  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
030.514  000.017  000.017: require('mason-lspconfig.settings')
030.516  000.171  000.153: require('mason-lspconfig')
030.575  000.020  000.020: require('cmp_nvim_lsp.source')
030.577  000.042  000.021: require('cmp_nvim_lsp')
030.579  000.062  000.020: require('plugins.lsp.handlers')
030.791  000.020  000.020: require('mason-lspconfig.mappings')
030.794  000.046  000.026: require('mason-lspconfig.features.automatic_enable')
034.518  000.037  000.037: require('mason-lspconfig.notify')
034.533  000.108  000.071: require('mason-lspconfig.api.command')
034.534  004.213  003.825: require('plugins.lsp.mason')
034.537  004.376  000.160: require('mason-lspconfig')
035.479  005.341  000.965: require('plugins.lsp.servers')
035.682  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
035.689  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
035.888  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
035.895  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
037.393  001.262  001.262: require('vim.filetype')
037.864  000.027  000.027: require('luasnip.util.types')
037.868  000.072  000.044: require('luasnip.util.ext_opts')
037.985  000.038  000.038: require('luasnip.util.lazy_table')
038.022  000.037  000.037: require('luasnip.extras.filetype_functions')
038.035  000.135  000.060: require('luasnip.default_config')
038.036  000.168  000.033: require('luasnip.session')
038.038  000.530  000.290: require('luasnip.config')
038.055  001.961  000.169: sourcing /home/theo/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
038.058  001.982  000.021: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.096  000.015  000.015: sourcing /home/theo/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
038.098  000.036  000.021: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.101  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.107  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.239  000.056  000.056: require('cmp.utils.api')
038.292  000.026  000.026: require('cmp.types.cmp')
038.385  000.055  000.055: require('cmp.utils.misc')
038.396  000.103  000.049: require('cmp.types.lsp')
038.420  000.023  000.023: require('cmp.types.vim')
038.421  000.181  000.028: require('cmp.types')
038.446  000.024  000.024: require('cmp.utils.highlight')
038.500  000.024  000.024: require('cmp.utils.debug')
038.502  000.056  000.032: require('cmp.utils.autocmd')
038.757  000.004  000.004: sourcing nvim_exec2() called at /home/theo/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
038.759  000.615  000.294: sourcing /home/theo/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
038.761  000.634  000.018: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.764  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
038.771  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
039.043  000.051  000.051: require('cmp.utils.char')
039.048  000.107  000.056: require('cmp.utils.str')
039.252  000.129  000.129: require('cmp.utils.buffer')
039.262  000.184  000.055: require('cmp.utils.keymap')
039.263  000.214  000.030: require('cmp.utils.feedkeys')
039.578  000.122  000.122: require('cmp.config.mapping')
039.623  000.043  000.043: require('cmp.utils.cache')
039.786  000.110  000.110: require('cmp.config.compare')
039.840  000.052  000.052: require('cmp.config.window')
039.841  000.216  000.054: require('cmp.config.default')
039.854  000.498  000.116: require('cmp.config')
039.871  000.607  000.109: require('cmp.utils.async')
039.989  000.047  000.047: require('cmp.utils.pattern')
